Workout,Duration,Burned(kcal),warmup,fat_burn,endurance,anaerobic,threshold,max_heartrate,avg_heartrate
Squash,79,754,12,21,33,13,0,178,144
Basketball,62,653,4,19,31,8,0,165,139
Basketball,59,648,3,17,29,10,0,168,142
Squash,91,972,14,22,42,13,1,197,157
Squash,98,1031,13,18,52,15,1,203,161
Basketball,63,673,3,20,27,13,0,171,146
Basketball,57,607,2,19,21,15,0,169,141
Squash,85,794,13,23,39,10,0,168,132
Basketball,58,634,3,20,31,4,0,161,138
Squash,86,803,14,24,40,8,0,172,142
Basketball,35,402,3,11,9,12,0,165,141
Walk,15,62,14,1,0,0,0,134,121
Basketball,53,552,4,10,25,14,0,171,141
Basketball,44,502,3,12,26,3,0,166,149
Walk,20,149,20,0,0,0,0,143,131
Walk,17,91,15,2,0,0,0,156,138
Squash,97,981,14,30,40,12,1,194,156
Squash,87,810,13,25,39,10,0,166,134
Basketball,60,639,3,18,37,2,0,163,142
Basketball,33,390,3,9,9,12,0,165,146
Walk,13,60,13,0,0,0,0,136,120
Basketball,50,536,5,10,23,12,0,170,140
Basketball,42,480,1,12,24,5,0,165,147
Walk,23,158,20,3,0,0,0,156,156
Walk,15,87,15,0,0,0,0,143,134
Volleyball,69,444,29,22,10,8,0,147,120
Gym,42,358,3,14,24,1,0,140,164
Gym,50,305,13,11,12,14,0,156,117
Gym,44,305,24,8,9,3,0,163,123
Gym,64,543,11,20,28,5,0,163,133
Gym,58,277,21,9,28,0,0,154,102
Walk,14,57,14,0,0,0,0,142,118
Gym,60,422,20,19,12,9,0,165,123
Gym,29,191,2,7,11,9,0,162,118
Gym,47,334,12,17,12,8,0,154,124
Gym,43,305,5,18,14,6,0,154,129
Walk,22,148,22,0,0,0,0,151,126
Walk,12,65,8,2,2,0,0,154,128
Walk,15,126,1,3,11,0,0,154,134
Walk,21,141,6,6,9,0,0,145,119
Walk,48,274,32,9,7,0,0,142,109
Walk,20,94,13,7,0,0,0,125,105
Walk,18,104,2,5,5,6,0,162,122
Walk,15,65,6,6,3,0,0,143,108
Squash,59,629,5,10,34,11,0,166,142
Walk,12,31,12,0,0,0,0,118,90
Walk,53,262,30,12,11,0,0,160,107
Walk,15,78,5,4,6,0,0,159,138
Walk,10,35,7,3,0,0,0,127,110
Basketball,123,1114,15,35,56,17,0,165,131
Squash,33,332,1,15,14,3,0,162,142
Walk,13,141,3,7,3,0,0,153,130
Gym,80,587,30,16,24,10,0,162,123
Walk,16,71,4,8,4,0,0,143,113
Gym,47,255,11,26,7,3,0,171,114
Gym,57,415,8,16,22,11,0,164,128
